食品群,食品番号,索引番号,食品名,廃 棄 率,,,一般成分,一般成分,一般成分,一般成分,一般成分,,,,,一般成分,一般成分,,,,一般成分,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,"ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン　
(ビタミンA)","ビタミン
(ビタミンA)",ビタミン,"ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)",ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,,,,,,,,,,,,備考
,,,,,エネルギー（kcal）,エネルギー（kJ),水   分,たんぱく質,アミノ酸組成によるたんぱく質,脂   質,トリアシルグリセロール当量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,コレステロール,炭水化物,利用可能炭水化物（単糖当量）,水溶性食物繊維,不溶性食物繊維,食物繊維総量,灰   分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,α-カロテン,β-カロテン,β-クリプトキサンチン,β-カロテン当量,レチノール活性当量,ビタミンD,α-トコフェロール,β-トコフェロール,γ-トコフェロール,δ-トコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,食塩相当量,アルコール,硝酸イオン,テオブロミン,カフェイン,タンニン,ポリフェノール,酢酸,調理油,有機酸,重量変化率,
,,,Tagnames,REFUSE,"ENERC_
KCAL",ENERC,WATER,－,PROTCAA,－,FATNLEA,FASAT,FAMS,FAPU,CHOLE,－,CHOAVLM,FIBSOL,FIBINS, FIBTG,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA ,CARTB ,CRYPXB,CARTBEQ,VITA_RAE,VITD,TOCPHA,TOCPHB ,TOCPHG,TOCPHD,VITK,THIAHCL ,RIBF,NIA,VITB6A,VITB12,FOL,PANTAC,BIOT,VITC,NACL_EQ,ALC,NITRA ,THEBRN,CAFFN ,TAN,POLYPHENT,ACEAC,－,OA,－,
,,,単位,%,kcal/100 g,kJ/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 ｇ,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,mg/100 g,µg/100 g,mg/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,%,
10,10154,1195,さば･二枚におろしたもの,50,247,1032,62.1,20.6,17.4,16.8,12.8,4.57,5.03,2.66,61,0.3,-,(0),(0),(0),1.1,110,330,6,30,220,1.2,1.1,0.12,0.01,21,70,2,0,37,0,1,0,1,37,5.1,1.3,0,0,0,2,0.21,0.31,11.7,0.59,12.9,11,0.66,4.9,1,0.3,-,-,-,-,-,-,-,-,-,-,"別名： さば　 "
10,10165,1210,さばみそ煮缶,0,217,908,61.0,16.3,-,13.9,12.5,3.70,4.41,3.88,70,6.6,-,(0),(0),(0),2.2,430,250,210,29,250,2.0,1.2,0.14,0.09,-,-,-,-,42,(0),(0),(0),(0),42,5.0,1.9,Tr,0.3,0.2,(0),0.04,0.37,5.9,0.30,9.6,21,0.50,-,0,1.1,-,-,-,-,-,-,-,-,-,-,液汁を含んだもの　 
10,10173,1218,さんま,35,297,1241,57.7,17.6,15.6,23.6,19.2,4.06,10.01,4.39,65,0.1,-,(0),(0),(0),0.9,130,190,26,26,170,1.3,0.8,0.12,0.02,21,30,2,1,16,0,0,0,0,16,14.9,1.7,0,0,0,1,0.01,0.27,7.1,0.51,15.4,14,0.70,7.1,Tr,0.3,-,-,-,-,-,-,-,-,-,-,"別名： さいら　 "
10,10361,1419,だこ,15,76,318,81.1,16.4,11.4,0.7,0.2,0.07,0.03,0.14,150,0.1,-,(0),(0),(0),1.7,280,290,16,55,160,0.6,1.6,0.30,0.03,-,-,-,-,5,-,-,-,(0),5,(0),1.9,0,0,0,Tr,0.03,0.09,2.2,0.07,1.3,4,0.24,-,Tr,0.7,-,-,-,-,-,-,-,-,-,-,廃棄部位： 内臓等　 
10,10205,1253,たら,0,77,322,80.9,17.6,13.9,0.2,0.1,0.03,0.03,0.07,58,0.1,-,(0),(0),(0),1.2,110,350,32,24,230,0.2,0.5,0.04,0.01,350,31,0,0,10,0,0,-,0,10,1.0,0.8,0,0,0,(0),0.10,0.10,1.4,0.07,1.3,5,0.44,2.5,Tr,0.3,-,-,-,-,-,-,-,-,-,-,"別名： たら　 "
10,10205,1253,甘塩たら,0,77,322,80.9,17.6,13.9,0.2,0.1,0.03,0.03,0.07,58,0.1,-,(0),(0),(0),1.2,110,350,32,24,230,0.2,0.5,0.04,0.01,350,31,0,0,10,0,0,-,0,10,1.0,0.8,0,0,0,(0),0.10,0.10,1.4,0.07,1.3,5,0.44,2.5,Tr,0.3,-,-,-,-,-,-,-,-,-,-,"別名： たら　 "
10,10205,1253,まだら,0,77,322,80.9,17.6,13.9,0.2,0.1,0.03,0.03,0.07,58,0.1,-,(0),(0),(0),1.2,110,350,32,24,230,0.2,0.5,0.04,0.01,350,31,0,0,10,0,0,-,0,10,1.0,0.8,0,0,0,(0),0.10,0.10,1.4,0.07,1.3,5,0.44,2.5,Tr,0.3,-,-,-,-,-,-,-,-,-,-,"別名： たら　 "
10,10281,1332,あさり,60,30,126,90.3,6.0,4.5,0.3,0.1,0.02,0.01,0.04,40,0.4,-,(0),(0),(0),3.0,870,140,66,100,85,3.8,1.0,0.06,0.10,55,38,4,9,2,1,21,0,22,4,0,0.4,0,0,0,Tr,0.02,0.16,1.4,0.04,52.4,11,0.39,22.7,1,2.2,-,-,-,-,-,-,-,-,-,-,廃棄部位： 貝殻　 
10,10281,1332,あさり（殻付き）,60,30,126,90.3,6.0,4.5,0.3,0.1,0.02,0.01,0.04,40,0.4,-,(0),(0),(0),3.0,870,140,66,100,85,3.8,1.0,0.06,0.10,55,38,4,9,2,1,21,0,22,4,0,0.4,0,0,0,Tr,0.02,0.16,1.4,0.04,52.4,11,0.39,22.7,1,2.2,-,-,-,-,-,-,-,-,-,-,廃棄部位： 貝殻　 
10,10281,1332,あさり（殻つき）,60,30,126,90.3,6.0,4.5,0.3,0.1,0.02,0.01,0.04,40,0.4,-,(0),(0),(0),3.0,870,140,66,100,85,3.8,1.0,0.06,0.10,55,38,4,9,2,1,21,0,22,4,0,0.4,0,0,0,Tr,0.02,0.16,1.4,0.04,52.4,11,0.39,22.7,1,2.2,-,-,-,-,-,-,-,-,-,-,廃棄部位： 貝殻　 
