食品群,食品番号,索引番号,食品名,廃 棄 率,,,一般成分,一般成分,一般成分,一般成分,一般成分,,,,,一般成分,一般成分,,,,一般成分,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,"ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン　
(ビタミンA)","ビタミン
(ビタミンA)",ビタミン,"ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)",ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,,,,,,,,,,,,備考
,,,,,エネルギー（kcal）,エネルギー（kJ),水   分,たんぱく質,アミノ酸組成によるたんぱく質,脂   質,トリアシルグリセロール当量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,コレステロール,炭水化物,利用可能炭水化物（単糖当量）,水溶性食物繊維,不溶性食物繊維,食物繊維総量,灰   分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,α-カロテン,β-カロテン,β-クリプトキサンチン,β-カロテン当量,レチノール活性当量,ビタミンD,α-トコフェロール,β-トコフェロール,γ-トコフェロール,δ-トコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,食塩相当量,アルコール,硝酸イオン,テオブロミン,カフェイン,タンニン,ポリフェノール,酢酸,調理油,有機酸,重量変化率,
,,,Tagnames,REFUSE,"ENERC_
KCAL",ENERC,WATER,－,PROTCAA,－,FATNLEA,FASAT,FAMS,FAPU,CHOLE,－,CHOAVLM,FIBSOL,FIBINS, FIBTG,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA ,CARTB ,CRYPXB,CARTBEQ,VITA_RAE,VITD,TOCPHA,TOCPHB ,TOCPHG,TOCPHD,VITK,THIAHCL ,RIBF,NIA,VITB6A,VITB12,FOL,PANTAC,BIOT,VITC,NACL_EQ,ALC,NITRA ,THEBRN,CAFFN ,TAN,POLYPHENT,ACEAC,－,OA,－,
,,,単位,%,kcal/100 g,kJ/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 ｇ,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,mg/100 g,µg/100 g,mg/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,%,
06,06153,547,玉ねぎ,6,37,155,89.7,1.0,0.6,0.1,Tr,0.01,Tr,0.03,1,8.8,7.0,0.6,1.0,1.6,0.4,2,150,21,9,33,0.2,0.2,0.05,0.15,1,1,0,1,(0),0,1,0,1,Tr,(0),0.1,0,0,0,Tr,0.03,0.01,0.1,0.16,(0),16,0.19,0.6,8,0,-,Tr,-,-,-,-,-,-,0.2,-,廃棄部位： 皮（保護葉）、底盤部及び頭部　 
01,01131,144,とうもろこし,0,350,1464,14.5,8.6,(7.4),5.0,(4.5),(1.01),(1.07),(2.24),(0),70.6,71.2,0.6,8.4,9.0,1.3,3,290,5,75,270,1.9,1.7,0.18,-,0,6,Tr,20,(0),11,99,100,150,13,(0),1.0,0.1,3.9,0.1,(0),0.30,0.10,2.0,0.39,(0),28,0.57,8.3,(0),0,-,-,-,-,-,-,-,-,-,-,別名： とうきび　 
06,06182,580,トマト,3,19,79,94.0,0.7,0.5,0.1,0.1,0.02,0.01,0.03,0,4.7,3.1,0.3,0.7,1.0,0.5,3,210,7,9,26,0.2,0.1,0.04,0.08,Tr,1,Tr,2,(0),4,540,0,540,45,(0),0.9,Tr,0.2,0,4,0.05,0.02,0.7,0.08,(0),22,0.17,2.3,15,0,-,0,-,-,-,-,-,-,0.4,-,廃棄部位： へた　 
06,06191,591,なす,10,22,92,93.2,1.1,0.7,0.1,Tr,0.03,Tr,Tr,1,5.1,2.6,0.3,1.9,2.2,0.5,Tr,220,18,17,30,0.3,0.2,0.06,0.16,0,0,0,10,(0),0,100,1,100,8,(0),0.3,0,0,0,10,0.05,0.05,0.5,0.05,(0),32,0.33,2.3,4,0,-,Tr,-,-,-,-,-,-,0.4,-,廃棄部位： へた　 
06,06207,609,にら,5,21,88,92.6,1.7,1.2,0.3,(0.1),(0.04),(0.01),(0.08),Tr,4.0,1.7,0.5,2.2,2.7,1.1,1,510,48,18,31,0.7,0.3,0.07,0.39,1,1,1,15,(0),0,3500,32,3500,290,(0),2.5,0,0.5,0,180,0.06,0.13,0.6,0.16,(0),100,0.50,2.1,19,0,-,0.3,-,-,-,-,-,-,-,-,廃棄部位： 株元　 
06,06214,617,にんじん,10,36,152,89.7,0.8,0.6,0.1,(0.1),(0.01),(Tr),(0.04),(0),8.7,5.8,0.6,1.8,2.4,0.7,34,270,26,9,25,0.2,0.2,0.05,0.10,Tr,1,1,1,(0),3200,6700,0,8300,690,(0),0.5,Tr,0,0,18,0.07,0.06,0.7,0.10,(0),23,0.33,2.8,6,0.1,-,0,-,-,-,-,-,-,0.3,-,廃棄部位： 根端、葉柄基部及び皮　 
06,06226,634,ねぎ,40,34,143,89.6,1.4,0.9,0.1,Tr,0.02,Tr,0.02,2,8.3,3.6,0.3,2.2,2.5,0.5,Tr,200,36,13,27,0.3,0.3,0.04,0.12,0,Tr,0,2,(0),0,82,1,83,7,(0),0.2,0,0,0,8,0.05,0.04,0.4,0.12,(0),72,0.17,1.0,14,0,-,Tr,-,-,-,-,-,-,-,-,"別名： 長ねぎ　 "
06,06233,644,白菜,6,14,59,95.2,0.8,0.6,0.1,Tr,0.01,Tr,0.03,(0),3.2,2.0,0.3,1.0,1.3,0.6,6,220,43,10,33,0.3,0.2,0.03,0.11,1,Tr,0,6,(0),0,92,13,99,8,(0),0.2,0,0,0,59,0.03,0.03,0.6,0.09,(0),61,0.25,1.4,19,0,-,0.1,-,-,-,-,-,-,-,-,廃棄部位： 株元　 
06,06247,659,パプリカ,10,30,126,91.1,1.0,(0.8),0.2,(0.1),(0.02),(Tr),(0.05),(0),7.2,(5.3),0.5,1.1,1.6,0.5,Tr,210,7,10,22,0.4,0.2,0.03,0.13,-,-,-,-,(0),0,940,230,1100,88,(0),4.3,0.2,0.2,Tr,7,0.06,0.14,1.2,0.37,(0),68,0.28,-,170,0,-,0,-,-,-,-,-,-,-,-,"別名： パプリカ、クィーンベル　 "
06,06228,639,小ねぎ,10,27,113,91.3,2.0,(1.4),0.3,(0.1),(0.04),(0.01),(0.08),(0),5.4,-,0.2,2.3,2.5,0.9,1,320,100,17,36,1.0,0.3,0.03,0.18,-,-,-,-,(0),0,2200,13,2200,190,(0),1.3,0,0,0,120,0.08,0.14,0.6,0.13,(0),120,0.20,-,44,0,-,0.1,-,-,-,-,-,-,-,-,"万能ねぎ等を含む　 "
06,06245,657,ピーマン,15,22,92,93.4,0.9,0.7,0.2,0.1,0.02,Tr,0.05,0,5.1,2.3,0.6,1.7,2.3,0.4,1,190,11,11,22,0.4,0.2,0.06,0.10,Tr,0,1,3,(0),6,400,3,400,33,(0),0.8,0,0,0,20,0.03,0.03,0.6,0.19,(0),26,0.30,1.6,76,0,-,Tr,-,-,-,-,-,-,0.2,-,廃棄部位： へた、しん及び種子　 
06,06263,675,ブロッコリー,50,33,138,89.0,4.3,2.9,0.5,0.2,0.06,0.06,0.09,(0),5.2,1.5,0.7,3.7,4.4,1.0,20,360,38,26,89,1.0,0.7,0.08,0.22,0,2,Tr,12,(0),4,800,7,810,67,(0),2.4,0,0.5,0,160,0.14,0.20,0.8,0.27,(0),210,1.12,9.3,120,0.1,-,Tr,-,-,-,-,-,-,-,-,廃棄部位： 茎葉　 
06,06267,680,ほうれん草,10,20,84,92.4,2.2,1.6,0.4,0.2,0.04,0.02,0.17,0,3.1,0.3,0.7,2.1,2.8,1.7,16,690,49,69,47,2.0,0.7,0.11,0.32,3,3,2,5,(0),0,4200,34,4200,350,(0),2.1,0,0.2,0,270,0.11,0.20,0.6,0.14,(0),210,0.20,2.9,35,0,-,0.2,-,-,-,-,-,-,0.9,-,廃棄部位： 株元　 
06,06072,692,水菜,15,23,96,91.4,2.2,(1.9),0.1,-,-,-,-,(0),4.8,-,0.6,2.4,3.0,1.3,36,480,210,31,64,2.1,0.5,0.07,0.41,7,2,3,20,(0),0,1300,0,1300,110,(0),1.8,Tr,0.1,0,120,0.08,0.15,0.7,0.18,(0),140,0.50,3.1,55,0.1,-,0.2,-,-,-,-,-,-,-,-,"別名： きょうな、せんすじきょうな　 "
06,06286,708,もやし,0,12,50,96.0,1.6,-,0.1,(0.1),(0.01),(0.01),(0.06),(0),2.0,(0.3),0.1,1.3,1.4,0.3,7,43,14,13,37,0.5,0.4,0.09,0.10,1,1,0,16,(0),0,56,0,56,5,(0),1.9,0,Tr,0,47,0.07,0.09,0.2,0.10,(0),56,0.46,4.4,5,0,-,Tr,-,-,-,-,-,-,-,-,別名： 糸もやし　 
06,06312,735,レタス,2,12,50,95.9,0.6,0.5,0.1,Tr,0.01,Tr,0.03,(0),2.8,1.7,0.1,1.0,1.1,0.5,2,200,19,8,22,0.3,0.2,0.04,0.13,1,0,0,Tr,(0),0,240,0,240,20,(0),0.3,0,0.2,0,29,0.05,0.03,0.2,0.05,(0),73,0.20,1.2,5,0,-,0.1,-,-,-,-,-,-,-,-,"別名： たまちしゃ　 "
06,06317,742,れんこん,20,66,276,81.5,1.9,1.3,0.1,Tr,0.01,0.01,0.02,0,15.5,14.2,0.2,1.8,2.0,1.0,24,440,20,16,74,0.5,0.3,0.09,0.78,9,1,0,1,(0),0,3,0,3,Tr,(0),0.6,Tr,0,0,0,0.10,0.01,0.4,0.09,0,14,0.89,2.9,48,0.1,-,0,-,-,-,-,-,-,-,-,廃棄部位： 節部及び皮　 
