食品群,食品番号,索引番号,食品名,廃 棄 率,,,一般成分,一般成分,一般成分,一般成分,一般成分,,,,,一般成分,一般成分,,,,一般成分,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,"ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン　
(ビタミンA)","ビタミン
(ビタミンA)",ビタミン,"ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)",ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,,,,,,,,,,,,備考
,,,,,エネルギー（kcal）,エネルギー（kJ),水   分,たんぱく質,アミノ酸組成によるたんぱく質,脂   質,トリアシルグリセロール当量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,コレステロール,炭水化物,利用可能炭水化物（単糖当量）,水溶性食物繊維,不溶性食物繊維,食物繊維総量,灰   分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,α-カロテン,β-カロテン,β-クリプトキサンチン,β-カロテン当量,レチノール活性当量,ビタミンD,α-トコフェロール,β-トコフェロール,γ-トコフェロール,δ-トコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,食塩相当量,アルコール,硝酸イオン,テオブロミン,カフェイン,タンニン,ポリフェノール,酢酸,調理油,有機酸,重量変化率,
,,,Tagnames,REFUSE,"ENERC_
KCAL",ENERC,WATER,－,PROTCAA,－,FATNLEA,FASAT,FAMS,FAPU,CHOLE,－,CHOAVLM,FIBSOL,FIBINS, FIBTG,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA ,CARTB ,CRYPXB,CARTBEQ,VITA_RAE,VITD,TOCPHA,TOCPHB ,TOCPHG,TOCPHD,VITK,THIAHCL ,RIBF,NIA,VITB6A,VITB12,FOL,PANTAC,BIOT,VITC,NACL_EQ,ALC,NITRA ,THEBRN,CAFFN ,TAN,POLYPHENT,ACEAC,－,OA,－,
,,,単位,%,kcal/100 g,kJ/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 ｇ,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,mg/100 g,µg/100 g,mg/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,%,
11,11153,1631,豚薄切り肉,0,434,1816,45.8,13.4,(11.6),40.1,39.0,15.39,18.42,3.51,70,0,-,(0),(0),(0),0.7,43,220,3,14,120,0.6,1.6,0.04,0.01,-,-,-,-,9,-,-,-,Tr,9,0.1,0.4,0,0.1,0,1,0.45,0.11,4.2,0.23,0.3,2,0.62,-,1,0.1,-,-,-,-,-,-,-,-,-,-,試料： バークシャー種　 
11,11154,1632,豚もも薄切り肉,0,225,941,64.2,19.5,(16.1),15.1,14.3,5.47,6.71,1.52,71,0.2,-,(0),(0),(0),1.0,48,330,4,22,190,0.5,2.0,0.07,0.01,-,-,-,-,5,-,-,-,0,5,0.1,0.3,0,Tr,0,3,0.90,0.19,7.2,0.37,0.3,1,0.92,-,1,0.1,-,-,-,-,-,-,-,-,-,-,"試料： バークシャー種　 "
11,11154,1632,豚こま切れ肉,0,225,941,64.2,19.5,(16.1),15.1,14.3,5.47,6.71,1.52,71,0.2,-,(0),(0),(0),1.0,48,330,4,22,190,0.5,2.0,0.07,0.01,-,-,-,-,5,-,-,-,0,5,0.1,0.3,0,Tr,0,3,0.90,0.19,7.2,0.37,0.3,1,0.92,-,1,0.1,-,-,-,-,-,-,-,-,-,-,"試料： バークシャー種　 "
11,11154,1632,豚もも肉（チャーシュー用）･タコ糸を巻いたもの,0,225,941,64.2,19.5,(16.1),15.1,14.3,5.47,6.71,1.52,71,0.2,-,(0),(0),(0),1.0,48,330,4,22,190,0.5,2.0,0.07,0.01,-,-,-,-,5,-,-,-,0,5,0.1,0.3,0,Tr,0,3,0.90,0.19,7.2,0.37,0.3,1,0.92,-,1,0.1,-,-,-,-,-,-,-,-,-,-,"試料： バークシャー種　 "
11,11154,1632,豚ももかたまり肉,0,225,941,64.2,19.5,(16.1),15.1,14.3,5.47,6.71,1.52,71,0.2,-,(0),(0),(0),1.0,48,330,4,22,190,0.5,2.0,0.07,0.01,-,-,-,-,5,-,-,-,0,5,0.1,0.3,0,Tr,0,3,0.90,0.19,7.2,0.37,0.3,1,0.92,-,1,0.1,-,-,-,-,-,-,-,-,-,-,"試料： バークシャー種　 "
11,11154,1632,豚もも肉･かたまり,0,225,941,64.2,19.5,(16.1),15.1,14.3,5.47,6.71,1.52,71,0.2,-,(0),(0),(0),1.0,48,330,4,22,190,0.5,2.0,0.07,0.01,-,-,-,-,5,-,-,-,0,5,0.1,0.3,0,Tr,0,3,0.90,0.19,7.2,0.37,0.3,1,0.92,-,1,0.1,-,-,-,-,-,-,-,-,-,-,"試料： バークシャー種　 "
11,11154,1632,豚もも肉･切り落とし,0,225,941,64.2,19.5,(16.1),15.1,14.3,5.47,6.71,1.52,71,0.2,-,(0),(0),(0),1.0,48,330,4,22,190,0.5,2.0,0.07,0.01,-,-,-,-,5,-,-,-,0,5,0.1,0.3,0,Tr,0,3,0.90,0.19,7.2,0.37,0.3,1,0.92,-,1,0.1,-,-,-,-,-,-,-,-,-,-,"試料： バークシャー種　 "
11,11119,1593,豚肩ロースかたまり肉,0,253,1059,62.6,17.1,(14.7),19.2,18.4,7.26,8.17,2.10,69,0.1,-,(0),(0),(0),1.0,54,300,4,18,160,0.6,2.7,0.09,0.01,-,-,-,-,6,-,-,-,0,6,0.3,0.4,0,Tr,0,2,0.63,0.23,3.6,0.28,0.5,2,1.18,-,2,0.1,-,-,-,-,-,-,-,-,-,-,皮下脂肪： 5.7 %、筋間脂肪： 12.4 %　 
11,11119,1593,豚肩ロース肉･ソテー用･大1枚,0,253,1059,62.6,17.1,(14.7),19.2,18.4,7.26,8.17,2.10,69,0.1,-,(0),(0),(0),1.0,54,300,4,18,160,0.6,2.7,0.09,0.01,-,-,-,-,6,-,-,-,0,6,0.3,0.4,0,Tr,0,2,0.63,0.23,3.6,0.28,0.5,2,1.18,-,2,0.1,-,-,-,-,-,-,-,-,-,-,皮下脂肪： 5.7 %、筋間脂肪： 12.4 %　 
11,11119,1593,豚肩ロース肉･ブロック,0,253,1059,62.6,17.1,(14.7),19.2,18.4,7.26,8.17,2.10,69,0.1,-,(0),(0),(0),1.0,54,300,4,18,160,0.6,2.7,0.09,0.01,-,-,-,-,6,-,-,-,0,6,0.3,0.4,0,Tr,0,2,0.63,0.23,3.6,0.28,0.5,2,1.18,-,2,0.1,-,-,-,-,-,-,-,-,-,-,皮下脂肪： 5.7 %、筋間脂肪： 12.4 %　 
